StrikePrice,Call,CallDelta,CallGemma,CallVega,CallTheta,CallRho
185.0,32.553,0.842,0.007,41.502,-9.606,116.541
187.5,30.578,0.82,0.008,45.427,-9.961,114.733
190.0,28.663,0.796,0.008,49.296,-10.297,112.625
192.5,26.81,0.771,0.009,53.05,-10.608,110.228
195.0,25.023,0.745,0.009,56.634,-10.889,107.556
197.5,23.303,0.718,0.01,59.995,-11.134,104.627
200.0,21.655,0.69,0.01,63.084,-11.338,101.463
202.5,20.078,0.661,0.011,65.858,-11.499,98.088
205.0,18.575,0.631,0.011,68.28,-11.613,94.527
207.5,17.146,0.601,0.012,70.319,-11.678,90.81
210.0,15.792,0.571,0.012,71.954,-11.692,86.965
212.5,14.513,0.541,0.012,73.172,-11.657,83.022
215.0,13.307,0.51,0.012,73.964,-11.571,79.01
217.5,12.175,0.48,0.012,74.333,-11.437,74.96
220.0,11.115,0.451,0.012,74.286,-11.257,70.9
222.5,10.126,0.422,0.012,73.839,-11.033,66.855
225.0,9.204,0.394,0.012,73.011,-10.769,62.852
227.5,8.348,0.367,0.012,71.829,-10.469,58.913
230.0,7.556,0.34,0.012,70.321,-10.137,55.06
232.5,6.825,0.315,0.011,68.52,-9.776,51.31
235.0,6.152,0.291,0.011,66.46,-9.392,47.68
