StrikePrice,Put,PutDelta,PutGemma,PutVega,PutTheta,PutRho
185.0,2.477,-0.124,0.007,41.502,-3.499,-25.099
187.5,2.936,-0.143,0.008,45.427,-3.772,-28.821
190.0,3.455,-0.163,0.008,49.296,-4.026,-32.843
192.5,4.037,-0.185,0.009,53.05,-4.254,-37.154
195.0,4.683,-0.208,0.009,56.634,-4.452,-41.74
197.5,5.398,-0.232,0.01,59.995,-4.615,-46.582
200.0,6.184,-0.258,0.01,63.084,-4.737,-51.661
202.5,7.042,-0.285,0.011,65.858,-4.815,-56.95
205.0,7.973,-0.312,0.011,68.28,-4.846,-62.425
207.5,8.978,-0.341,0.012,70.319,-4.828,-68.056
210.0,10.058,-0.37,0.012,71.954,-4.761,-73.815
212.5,11.213,-0.399,0.012,73.172,-4.642,-79.672
215.0,12.442,-0.428,0.012,73.964,-4.475,-85.598
217.5,13.744,-0.458,0.012,74.333,-4.258,-91.562
220.0,15.119,-0.488,0.012,74.286,-3.995,-97.537
222.5,16.563,-0.517,0.012,73.839,-3.689,-103.495
225.0,18.076,-0.546,0.012,73.011,-3.343,-109.412
227.5,19.654,-0.574,0.012,71.829,-2.96,-115.265
230.0,21.297,-0.602,0.012,70.321,-2.545,-121.033
232.5,23.0,-0.628,0.011,68.52,-2.102,-126.697
235.0,24.761,-0.654,0.011,66.46,-1.635,-132.241
